time start target weight

1 498 486 173457917 
1 486 158 173419804 
1 158 32 173399016 
1 32 844 668705 
1 844 845 25024 
1 844 842 604799 
1 842 980 28103 
1 980 841 10010 
1 32 843 10009 
1 32 981 15784 
1 32 78 13474 
1 498 75 648520649 
1 75 160 15279351 
1 160 695 13272851 
1 695 691 13235508 
1 691 694 15014 
1 691 698 10009 
1 691 700 10394 
1 691 745 4885358 
1 745 619 87775 
1 619 532 40808 
1 532 843 8854 
1 532 981 12704 
1 619 843 9240 
1 619 981 8469 
1 745 843 8469 
1 745 981 10394 
1 745 630 4740221 
1 630 830 27719 
1 630 831 78920 
1 831 833 8854 
1 831 834 7315 
1 831 835 7314 
1 831 832 8469 
1 630 711 155916 
1 711 711 145521 
1 711 712 127042 
1 712 714 15014 
1 712 711 36572 
1 711 712 8853 
1 712 713 8469 
1 712 716 9240 
1 712 715 8469 
1 630 626 694883 
1 626 843 16554 
1 626 981 18093 
1 626 680 38497 
1 680 683 18864 
1 630 681 28488 
1 691 699 10394 
1 75 75 633225129 
1 75 74 597484 
1 74 912 31184 
1 912 916 14244 
1 75 913 1007870 
1 913 914 10395 
1 913 71 949354 
1 71 38 20789 
1 71 974 89700 
1 974 976 36573 
1 974 973 13859 
1 974 974 8470 
1 913 915 23869 
1 915 975 10394 
1 75 926 56976 
1 926 926 42347 
1 926 843 8085 
1 926 981 8469 
1 75 87 10394 
1 75 52 253700 
1 52 871 39267 
1 871 843 7314 
1 871 981 8854 
1 75 82 9239 
1 75 54 18834228 
1 75 84 20019 
1 75 72 8470 
1 75 702 1307767 
1 702 560 1288518 
1 560 582 11164 
1 560 564 672170 
1 564 553 41578 
1 553 843 9625 
1 553 981 8470 
1 560 584 11165 
1 560 583 61212 
1 583 575 10009 
1 583 572 9239 
1 583 557 18479 
1 560 704 9624 
1 560 568 8084 
1 560 565 458893 
1 565 549 16939 
1 560 35 15014 
1 75 86 871588 
1 86 90 11164 
1 86 89 807297 
1 89 72 6545 
1 86 703 13474 
1 75 88 202883 
1 88 92 8084 
1 88 65 175549 
1 65 551 85464 
1 551 590 66986 
1 590 574 46582 
1 574 568 7315 
1 574 90 6929 
1 574 576 16554 
1 576 575 7314 
1 590 704 6930 
1 75 57 1052142 
1 75 494 126697075 
1 494 161 25264113 
1 161 58 20966231 
1 58 45 5664936 
1 45 493 5651462 
1 493 500 247925 
1 500 729 224056 
1 729 560 210968 
1 560 582 6929 
1 560 564 30414 
1 564 553 20789 
1 553 843 6159 
1 553 981 6545 
1 560 584 6929 
1 560 583 34648 
1 583 575 6929 
1 583 572 6930 
1 583 557 8854 
1 560 563 92779 
1 563 575 5774 
1 563 569 35033 
1 569 568 6544 
1 569 92 7700 
1 563 696 7700 
1 563 586 19633 
1 586 576 11935 
1 576 575 5775 
1 560 568 5775 
1 560 565 15014 
1 565 549 6159 
1 560 35 7315 
1 58 79 15003707 
1 79 56 14987153 
